job_id,inferred,type
3836373186,0,Medical insurance
3836373186,0,Vision insurance
3836373186,0,Dental insurance
3836373186,0,401(k)
3836071723,1,401(k)
3836071723,1,Medical insurance
3836071723,1,Commuter benefits
3836376129,0,Pension plan
3836376129,0,Medical insurance
3836376129,0,Vision insurance
3836376129,0,Dental insurance
3836376129,0,401(k)
3836441240,1,401(k)
3835558448,0,Medical insurance
3835558448,0,Vision insurance
3835558448,0,401(k)
3835558448,0,Paid maternity leave
3835558448,0,Tuition assistance
3835558448,0,Disability insurance
3836412972,1,401(k)
3836418096,1,Paid maternity leave
3836418096,1,401(k)
3835250820,1,401(k)
3836386814,1,401(k)
3836386814,1,Dental insurance
3836386814,1,Medical insurance
3836386814,1,Vision insurance
3836368622,1,Medical insurance
3836368622,1,401(k)
3836323758,1,401(k)
3836323758,1,Medical insurance
3836323758,1,Pension plan
3836323758,1,Disability insurance
3836320092,1,401(k)
3836320092,1,Disability insurance
3836083902,1,Medical insurance
3836083902,1,Disability insurance
3836083902,1,401(k)
3836419046,1,401(k)
3836419046,1,Commuter benefits
409080727,1,Vision insurance
409080727,1,Disability insurance
409080727,1,401(k)
956952023,0,Medical insurance
956952023,0,401(k)
956952023,0,Disability insurance
2825636577,0,Medical insurance
2825636577,0,Dental insurance
2825636577,0,401(k)
3018273961,0,Medical insurance
3018273961,0,Dental insurance
3018273961,0,401(k)
3448321947,0,Medical insurance
3448321947,0,Vision insurance
3448321947,0,Dental insurance
3448321947,0,401(k)
3448321947,0,Child care support
3448321947,0,Paid maternity leave
3448321947,0,Paid paternity leave
3448321947,0,Commuter benefits
3568584462,0,Medical insurance
3568584462,0,Vision insurance
3568584462,0,Dental insurance
3568584462,0,Tuition assistance
3631343181,0,Medical insurance
3631343181,0,Vision insurance
3631343181,0,Dental insurance
3631343181,0,Paid maternity leave
3659225162,1,Disability insurance
3712712952,0,Medical insurance
3712712952,0,Vision insurance
3712712952,0,Dental insurance
3712712952,0,401(k)
3712712952,0,Pension plan
3712712952,0,Paid maternity leave
3712712952,0,Paid paternity leave
3712712952,1,Disability insurance
3716570770,0,Medical insurance
3716570770,0,Dental insurance
3716570770,0,401(k)
3716570770,0,Tuition assistance
3727230760,0,Medical insurance
3727230760,0,401(k)
3727230760,0,Vision insurance
3727230760,0,Dental insurance
3755222117,1,401(k)
3758101668,0,Medical insurance
3758101668,0,Vision insurance
3758101668,0,Dental insurance
3758101668,0,401(k)
3758101668,0,Paid maternity leave
3758101668,0,Paid paternity leave
3761879350,0,Medical insurance
3761879350,0,Vision insurance
3761879350,0,Dental insurance
3761879350,0,Disability insurance
3761879350,0,Paid maternity leave
3761879350,0,Paid paternity leave
3761879350,0,401(k)
3770183756,0,Medical insurance
3770183756,0,Vision insurance
3770183756,0,Dental insurance
3770183756,1,401(k)
3771496312,1,Disability insurance
3771496312,1,401(k)
3774860817,0,Medical insurance
3774860817,0,Vision insurance
3774860817,0,Dental insurance
3774860817,0,401(k)
3774860817,0,Tuition assistance
3775440920,0,Medical insurance
3775440920,0,Vision insurance
3775440920,0,Dental insurance
3775440920,0,Paid maternity leave
3779366060,0,Medical insurance
3779366060,0,Vision insurance
3779366060,0,Dental insurance
3779366060,0,401(k)
3779366060,0,Disability insurance
3783670792,0,Medical insurance
3783670792,0,Vision insurance
3783670792,0,Dental insurance
3783670792,0,401(k)
3783670792,1,Pension plan
3783670792,1,Disability insurance
3788979855,0,Medical insurance
3788979855,0,Vision insurance
3788979855,0,Dental insurance
3788979855,0,401(k)
3788979855,0,Disability insurance
3791282717,1,401(k)
3791282717,1,Dental insurance
3791282717,1,Medical insurance
3791282717,1,Vision insurance
3799982587,1,401(k)
3801922706,1,401(k)
3801922706,1,Disability insurance
3805287625,1,Medical insurance
3805287625,1,Dental insurance
3805287625,1,Disability insurance
3806468961,0,401(k)
3806468961,0,Commuter benefits
3806468961,1,Medical insurance
3809021191,0,Medical insurance
3809021191,0,Vision insurance
3809021191,0,Dental insurance
3809021191,0,401(k)
3809098529,1,401(k)
3813577213,1,Disability insurance
3813577213,1,401(k)
3813832951,1,Medical insurance
3813832951,1,401(k)
3814126501,1,Disability insurance
3814126501,1,401(k)
3817187607,1,Disability insurance
3819580702,0,Medical insurance
3819580702,0,Dental insurance
3819580702,1,401(k)
3822107170,0,Medical insurance
3822107170,0,Pension plan
3822107170,0,Dental insurance
3822107170,0,Vision insurance
3824186421,1,401(k)
3825758780,0,Medical insurance
3825758780,0,Vision insurance
3825758780,0,Dental insurance
3825758780,0,401(k)
3825758780,0,Paid maternity leave
3825758780,0,Paid paternity leave
3825758780,0,Commuter benefits
3827075376,0,401(k)
3827075376,0,Dental insurance
3827075376,0,Medical insurance
3827075376,0,Vision insurance
3827075376,0,Paid paternity leave
3827075376,0,Tuition assistance
