company_id,industry
75641,Staffing and Recruiting
14966,Retail
226965,Staffing and Recruiting
4804,Machinery Manufacturing
80786643,Advertising Services
6611939,IT Services and IT Consulting
130948,Plastics Manufacturing
18860134,Staffing and Recruiting
6088,Staffing and Recruiting
81885,Hospitals and Health Care
18613,Retail
15256352,Utilities
14632005,Staffing and Recruiting
3958851,Events Services
13242175,IT Services and IT Consulting
3175,Industrial Machinery Manufacturing
167757,Staffing and Recruiting
40886000,Software Development
19472,Hospitals and Health Care
1614,IT Services and IT Consulting
22525,Hospitals and Health Care
34884813,Staffing and Recruiting
837790,IT Services and IT Consulting
18043,Staffing and Recruiting
48868,Motor Vehicle Manufacturing
6849,Software Development
12534,Restaurants
2986,Wholesale Building Materials
164880,Staffing and Recruiting
33242739,IT Services and IT Consulting
56955,Business Consulting and Services
2465,Advertising Services
8584,Aviation and Aerospace Component Manufacturing
13073,Hospitals and Health Care
60955,Real Estate
15810136,IT Services and IT Consulting
4347144,Packaging and Containers Manufacturing
163139,Telecommunications
12606850,Hospitals and Health Care
1353,IT Services and IT Consulting
33246798,Entertainment Providers
2629015,Staffing and Recruiting
18045394,IT Services and IT Consulting
126243,Utilities
162749,Freight and Package Transportation
61677,Staffing and Recruiting
1215629,Staffing and Recruiting
607277,Defense and Space Manufacturing
33258212,Manufacturing
62949055,Food and Beverage Manufacturing
508822,Insurance
6140446,Construction
71524727,Financial Services
1056511,Government Administration
1865078,Retail Apparel and Fashion
1186339,Wellness and Fitness Services
77403941,IT Services and IT Consulting
33259189,IT Services and IT Consulting
218446,Hospitals and Health Care
3743212,Hospitals and Health Care
4416,Financial Services
18237899,Real Estate
1654632,Human Resources Services
35476622,"Transportation, Logistics, Supply Chain and Storage"
2396310,Staffing and Recruiting
21836,Staffing and Recruiting
1008646,Software Development
890145,IT Services and IT Consulting
403981,Environmental Services
8640746,Higher Education
290079,Consumer Services
97198112,Software Development
11348293,Advertising Services
807101,Facilities Services
1210593,Retail
82545084,Advertising Services
15726332,Architecture and Planning
33185140,Staffing and Recruiting
